,Survey_dat,Name,Survey_num,Easting,Northing,Elevation,E_disp,N_disp,V_disp,Net_H_disp,net_H_V_di,net_disp_y,cum_net_di,latitude,longitude,geometry
0,43186,Peg 22,11,401794.855141766,5598709.849347164,300.925239,9.174168,-4.896754,-1.636437,10.3992095,10.52717836,23.00850361,50.27430731,-39.7559,175.854,POINT Z (401794.855141766 5598709.849347164 300.925239)
1,43019,Peg 22,10,401785.47743424604,5598714.329091637,302.561676,8.588939,-4.794912,-0.861208,9.836719689,9.874347242,34.65516099,39.74712895,-39.7558,175.853,POINT Z (401785.477434246 5598714.329091637 302.561676)
2,42915,Peg 22,9,401776.6883337034,5598718.733104728,303.422884,5.686166,-3.266741,-0.799483,6.557749655,6.606304081,23.87426722,29.8727817,-39.7558,175.853,POINT Z (401776.6883337034 5598718.733104728 303.422884)
3,42814,Peg 22,8,401770.86573020223,5598721.741118534,304.222367,1.422847,-0.857903999,-0.145521,1.661473099,1.66783369,6.341242677,23.26647762,-39.7558,175.853,POINT Z (401770.8657302022 5598721.741118534 304.222367)
4,42718,Peg 22,7,401769.4067857158,5598722.533240168,304.367888,2.12534,-1.266593001,-0.228488,2.474131756,2.484659878,17.44040107,21.59864393,-39.7558,175.853,POINT Z (401769.4067857158 5598722.533240168 304.367888)
5,42666,Peg 22,6,401767.22867913096,5598723.703376394,304.596376,5.462476,-3.408044999,-0.612894,6.438432633,6.467538467,22.6985725,19.11398405,-39.7557,175.853,POINT Z (401767.228679131 5598723.703376394 304.596376)
6,42562,Peg 22,5,401761.62242399,5598726.862113714,305.20927,1.897806,-1.314236501,-0.21558975,2.308437825,2.318483154,7.295227165,12.64644559,-39.7557,175.853,POINT Z (401761.62242399 5598726.862113714 305.20927)
7,42446,Peg 22,4,401759.6698523054,5598728.08934787,305.4248598,0.082832,-0.825176999,-0.8927125,0.829323954,1.218488337,4.403447951,10.32796243,-39.7557,175.853,POINT Z (401759.6698523054 5598728.08934787 305.4248598)
8,42345,Peg 22,3,401759.5501738801,5598728.9093134105,306.3175723,3.974866,-1.953778,0.6840265,4.429086609,4.481595747,24.05562423,9.109474095,-39.7557,175.853,POINT Z (401759.5501738801 5598728.909313411 306.3175723)
9,42277,Peg 22,2,401755.4943969966,5598730.682792772,305.6335458,3.752,-2.695000001,-0.277,4.619581042,4.627878348,18.97950109,4.627878348,-39.7557,175.853,POINT Z (401755.4943969966 5598730.682792772 305.6335458)
10,42188,Peg 22,1,401751.62819613883,5598733.20602738,305.9105458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7557,175.853,POINT Z (401751.6281961388 5598733.20602738 305.9105458)
11,43817,Peg 21,13,401824.8515287888,5598798.242090173,304.42494,7.872857,-12.330169,-4.703089,14.62924964,15.36665191,12.89385735,47.25784752,-39.7551,175.854,POINT Z (401824.8515287888 5598798.242090173 304.42494)
12,43382,Peg 21,12,401816.44106480974,5598810.200896751,309.128029,3.223497,-6.075451,-1.014762,6.877647691,6.952106132,12.94652418,31.89119561,-39.755,175.854,POINT Z (401816.4410648097 5598810.200896751 309.128029)
13,43186,Peg 21,11,401812.95119915804,5598816.122237833,310.142791,1.362645,-2.724326001,-0.366686,3.046104652,3.068095855,6.705718486,24.93908948,-39.7549,175.854,POINT Z (401812.951199158 5598816.122237833 310.142791)
14,43019,Peg 21,10,401811.4698068126,5598818.78206783,310.509477,2.106446,-4.27556,-0.870118,4.766290808,4.845062786,17.00430689,21.87099362,-39.7549,175.854,POINT Z (401811.4698068126 5598818.78206783 310.509477)
15,42915,Peg 21,9,401809.1754553641,5598822.956154688,311.379595,1.268795,-2.880965999,-0.471313,3.147984409,3.183071125,11.50317783,17.02593084,-39.7549,175.854,POINT Z (401809.1754553641 5598822.956154688 311.379595)
16,42814,Peg 21,8,401807.78095070325,5598825.775927423,311.850908,0.253535,-0.66884,-0.004861,0.715281023,0.715297541,2.719620858,13.84285971,-39.7548,175.854,POINT Z (401807.7809507033 5598825.775927423 311.850908)
17,42718,Peg 21,7,401807.49750967155,5598826.432514383,311.855769,0.417761,-1.007286,-0.032077,1.090481242,1.09095292,7.657650302,13.12756217,-39.7548,175.854,POINT Z (401807.4975096715 5598826.432514383 311.855769)
