FID,Shape,Survey_date,Name,Survey_num,Easting,Northing,Elevation,E disp,N disp,V disp,Net H disp,net H&V disp,net disp/yr,cum net disp,latitude,longitude
72,Point ZM,3/07/2015,Peg 05,1,1844577.693,5596364.971,414.715546,0,0,0,0,0,0,0,-39.7475,175.855
71,Point ZM,30/09/2015,Peg 05,2,1844577.677,5596364.902,414.707546,-0.016,-0.069,-0.008,0.070831,0.071281,0.292333,0.071281,-39.7475,175.855
70,Point ZM,7/12/2015,Peg 05,3,1844577.678,5596364.905,414.725572,0.000866,0.003222,0.018027,0.003336,0.018333,0.098403,0.089614,-39.7475,175.855
69,Point ZM,17/03/2016,Peg 05,4,1844577.71,5596364.896,414.702004,0.032707,-0.009564,-0.023568,0.034077,0.041433,0.149733,0.131047,-39.7475,175.855
68,Point ZM,11/07/2016,Peg 05,5,1844577.662,5596364.844,414.657175,-0.048504,-0.051586,-0.044829,0.070807,0.083805,0.263698,0.214852,-39.7475,175.855
67,Point ZM,23/10/2016,Peg 05,6,1844577.666,5596364.749,414.652216,0.003668,-0.095499,-0.004959,0.095569,0.095698,0.335863,0.31055,-39.7475,175.855
66,Point ZM,14/12/2016,Peg 05,7,1844577.646,5596364.685,414.651637,-0.019601,-0.063732,-0.000579,0.066678,0.066681,0.468047,0.377231,-39.7475,175.855
65,Point ZM,20/03/2017,Peg 05,8,1844577.676,5596364.676,414.655279,0.030079,-0.009123,0.003642,0.031432,0.031642,0.120307,0.408873,-39.7475,175.855
64,Point ZM,29/06/2017,Peg 05,9,1844577.627,5596364.624,414.694308,-0.048609,-0.051803,0.039029,0.071038,0.081053,0.292916,0.489926,-39.7475,175.855
63,Point ZM,11/10/2017,Peg 05,10,1844577.619,5596364.537,414.638339,-0.008838,-0.08748,-0.055969,0.087925,0.104228,0.365799,0.594154,-39.7475,175.855
62,Point ZM,27/03/2018,Peg 05,11,1844577.6,5596364.464,414.461383,-0.018561,-0.07267,-0.176956,0.075003,0.192195,0.420067,0.786349,-39.7475,175.855
61,Point ZM,9/10/2018,Peg 05,12,1844577.588,5596364.3,414.583059,-0.011931,-0.1645,0.121676,0.164932,0.204958,0.381681,0.991306,-39.7476,175.855
60,Point ZM,18/12/2019,Peg 05,13,1844577.583,5596364.12,414.539135,-0.005302,-0.179169,-0.043924,0.179247,0.184551,0.154853,1.175857,-39.7476,175.855
59,Point ZM,3/07/2015,Peg 11,1,1844394.679,5596019.614,390.493546,0,0,0,0,0,0,0,-39.7507,175.853
58,Point ZM,7/12/2015,Peg 11,2,1844394.695,5596019.272,390.426572,0.015866,-0.341778,-0.066974,0.342146,0.348639,0.810531,0.348639,-39.7507,175.853
57,Point ZM,17/03/2016,Peg 11,3,1844394.731,5596019.154,390.443321,0.03638,-0.118662,0.016748,0.124114,0.125239,0.452595,0.473878,-39.7507,175.853
56,Point ZM,11/07/2016,Peg 11,4,1844394.716,5596018.962,390.341576,-0.014933,-0.192275,-0.101745,0.192854,0.218047,0.686096,0.691925,-39.7507,175.853
55,Point ZM,23/10/2016,Peg 11,5,1844394.786,5596018.506,390.193595,0.069418,-0.455668,-0.147981,0.460925,0.484098,1.698997,1.176022,-39.7507,175.853
54,Point ZM,20/03/2017,Peg 11,6,1844394.797,5596018.243,390.158495,0.011494,-0.262995,-0.0351,0.263246,0.265576,0.654967,1.441598,-39.7507,175.853
53,Point ZM,29/06/2017,Peg 11,7,1844394.842,5596017.964,390.163777,0.044952,-0.278915,0.005282,0.282514,0.282564,1.021145,1.724162,-39.7507,175.853
52,Point ZM,11/10/2017,Peg 11,8,1844394.93,5596017.467,389.98803,0.08833,-0.496634,-0.175747,0.504428,0.534167,1.874721,2.258329,-39.7507,175.853
51,Point ZM,27/03/2018,Peg 11,9,1844394.987,5596016.955,389.797578,0.056703,-0.512391,-0.190452,0.515519,0.549574,1.201165,2.807903,-39.7507,175.853
50,Point ZM,9/10/2018,Peg 11,10,1844395.07,5596016.209,389.732238,0.082667,-0.74547,-0.06534,0.75004,0.75288,1.402047,3.560783,-39.7507,175.853
49,Point ZM,20/02/2020,Peg 11,11,1844395.194,5596015.11,389.428943,0.124555,-1.099549,-0.303295,1.106581,1.147393,0.839275,4.708176,-39.7507,175.853
48,Point ZM,3/07/2015,Peg 14,1,1844384.754,5595884.09,383.784546,0,0,0,0,0,0,0,-39.7519,175.852
47,Point ZM,30/09/2015,Peg 14,2,1844384.879,5595883.515,383.660546,0.125,-0.575,-0.124,0.58843,0.601353,2.466225,0.601353,-39.7519,175.852
46,Point ZM,7/12/2015,Peg 14,3,1844384.948,5595883.197,383.597572,0.068866,-0.317778,-0.062974,0.325154,0.331196,1.777745,0.93255,-39.7519,175.852
