,Survey date,Name,Survey number,Easting,Northing,Elevation (NZVD2016),E disp,N disp,V disp,Net H disp,net H&V disp,net disp/yr,cum net disp,Cumulative E disp,Cumulative N disp,geometry,Elevation
10,2015-07-03,Peg 22,1,401751.62801416474,5598733.206293851,305.91054575000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT Z (401751.6280141647 5598733.206293851 305.91054575),305.91054575000004
9,2015-09-30,Peg 22,2,401755.494215025,5598730.6830592435,305.63354575,3.752000000094995,-2.695000001229346,-0.27700000000004366,4.6195810424040635,4.627878348372938,18.979501091641826,4.627878348372938,3.752000000094995,-2.695000001229346,POINT Z (401755.494215025 5598730.683059243 305.63354575),305.63354575
8,2015-12-07,Peg 22,3,401759.5498482182,5598728.909795545,306.31757225,3.974865999771282,-1.9537779996171594,0.6840265000000159,4.429086608763232,4.481595747122676,24.055624230879072,9.109474095495614,7.726865999866277,-4.648778000846505,POINT Z (401759.5498482182 5598728.909795545 306.31757225),306.31757225
7,2016-03-17,Peg 22,4,401759.6693668098,5598728.089645793,305.42485975,0.08283200021833181,-0.8251769989728928,-0.892712500000016,0.8293239535272565,1.2184883370596362,4.4034479507600714,10.32796243255525,7.809698000084609,-5.473954999819398,POINT Z (401759.6693668098 5598728.089645793 305.42485975),305.42485975
6,2016-07-11,Peg 22,5,401761.62275374756,5598726.862211483,305.20927,1.897805999731645,-1.3142365012317896,-0.21558974999999236,2.308437825410813,2.3184831537219464,7.295227164728538,12.646445586277196,9.707503999816254,-6.7881915010511875,POINT Z (401761.6227537476 5598726.862211483 305.20927),305.20927
5,2016-10-23,Peg 22,6,401767.2284877434,5598723.703405857,304.596376,5.4624759999569505,-3.4080449994653463,-0.612893999999983,6.438432632907363,6.467538467123517,22.698572504808496,19.113984053400713,15.169979999773204,-10.196236500516534,POINT Z (401767.2284877434 5598723.703405857 304.596376),304.596376
4,2016-12-14,Peg 22,7,401769.40691561846,5598722.53369114,304.367888,2.1253400000277907,-1.2665930008515716,-0.2284880000000271,2.474131755894241,2.4846598784679426,17.440401070015366,21.598643931868658,17.295319999800995,-11.462829501368105,POINT Z (401769.4069156185 5598722.53369114 304.367888),304.367888
3,2017-03-20,Peg 22,8,401770.8657476876,5598721.740660141,304.222367,1.422846999950707,-0.8579039992764592,-0.1455209999999738,1.6614730985614152,1.6678336903553252,6.3412426768718095,23.266477622223984,18.718166999751702,-12.320733500644565,POINT Z (401770.8657476876 5598721.740660141 304.222367),304.222367
2,2017-06-29,Peg 22,9,401776.68850536464,5598718.732912325,303.422884,5.686166000086814,-3.2667410001158714,-0.7994830000000093,6.557749655360543,6.606304080926819,23.874267223151374,29.872781703150803,24.404332999838516,-15.587474500760436,POINT Z (401776.6885053646 5598718.732912325 303.422884),303.422884
1,2017-10-11,Peg 22,10,401785.47754107835,5598714.328984368,302.56167600000003,8.588938999921083,-4.794912000186741,-0.8612079999999764,9.836719688691968,9.874347241877013,34.65516099312605,39.74712894502782,32.9932719997596,-20.382386500947177,POINT Z (401785.4775410783 5598714.328984368 302.561676),302.56167600000003
0,2018-03-27,Peg 22,11,401794.85540535086,5598709.849492993,300.925239,9.174167999997735,-4.896754000335932,-1.6364370000000577,10.399209500341282,10.527178363025753,23.00850360781078,50.27430730805357,42.167439999757335,-25.27914050128311,POINT Z (401794.8554053509 5598709.849492993 300.925239),300.925239
12,2015-07-03,Peg 21,1,401802.7712282605,5598836.646526802,313.05754575000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT Z (401802.7712282605 5598836.646526802 313.05754575),313.05754575000003
11,2015-09-30,Peg 21,2,401804.1622466405,5598833.658534092,312.43254575000003,1.2570000002160668,-3.049000001512468,-0.625,3.297946332153727,3.356646393316731,13.766021725400078,3.356646393316731,1.2570000002160668,-3.049000001512468,POINT Z (401804.1622466405 5598833.658534092 312.43254575),312.43254575000003
10,2015-12-07,Peg 21,3,401806.3474972726,5598831.810679694,313.09257225000005,2.101865999866277,-1.9447780000045896,0.660026500000015,2.863564588183007,2.9386454586080957,15.773611652822867,6.295291851924826,3.358866000082344,-4.993778001517057,POINT Z (401806.3474972726 5598831.810679694 313.09257225),313.09257225000005
9,2016-03-17,Peg 21,4,401805.2733412155,5598831.317216797,312.27222675,-1.0957929999567568,-0.4452869985252619,-0.8203455000000304,1.182811400777768,1.4394476541994035,5.201964294879033,7.73473950612423,2.263073000125587,-5.439065000042319,POINT Z (401805.2733412155 5598831.317216797 312.27222675),312.27222675
8,2016-07-11,Peg 21,5,401805.67873112636,5598830.321862534,312.249361,0.36076799989677966,-1.0130865015089512,-0.022865749999994023,1.0754058811858753,1.0756489445038429,3.3845850408957125,8.810388450628073,2.6238410000223666,-6.4521515015512705,POINT Z (401805.6787311264 5598830.321862534 312.249361),312.249361
7,2016-10-23,Peg 21,6,401807.03553886915,5598827.419415135,311.887846,1.2266239998862147,-2.9619589997455478,-0.36151499999999714,3.205901987470999,3.2262207997121806,11.322794152836018,12.036609250340254,3.8504649999085814,-9.414110501296818,POINT Z (401807.0355388692 5598827.419415135 311.887846),311.887846
6,2016-12-14,Peg 21,7,401807.49757102475,5598826.432395076,311.855769,0.41776100010611117,-1.0072860000655055,-0.03207700000001523,1.0904812419925543,1.0909529197296393,7.65765030194843,13.127562170069893,4.2682260000146925,-10.421396501362324,POINT Z (401807.4975710248 5598826.432395076 311.855769),311.855769
5,2017-03-20,Peg 21,8,401807.7805406683,5598825.775947111,311.850908,0.2535349999088794,-0.6688400004059076,-0.004861000000005333,0.7152810233200444,0.7152975406379991,2.7196208576340593,13.842859710707893,4.521760999923572,-11.090236501768231,POINT Z (401807.7805406683 5598825.775947111 311.850908),311.850908
4,2017-06-29,Peg 21,9,401809.17583752715,5598822.956243799,311.379595,1.268794999923557,-2.8809659993276,-0.4713130000000092,3.1479844092867895,3.183071124728712,11.5031778269899,17.025930835436604,5.790555999847129,-13.971202501095831,POINT Z (401809.1758375271 5598822.956243799 311.379595),311.379595
3,2017-10-11,Peg 21,10,401811.46966085926,5598818.78157312,310.509477,2.1064460000488907,-4.275559999980032,-0.8701179999999908,4.766290807803404,4.845062785813535,17.004306892518656,21.87099362125014,7.89700199989602,-18.246762501075864,POINT Z (401811.4696608593 5598818.78157312 310.509477),310.509477
2,2018-03-27,Peg 21,11,401812.95166708686,5598816.122444818,310.142791,1.3626449999865144,-2.724326000548899,-0.3666860000000156,3.0461046523806448,3.0680958550623902,6.705718485615404,24.93908947631253,9.259646999882534,-20.971088501624763,POINT Z (401812.9516670869 5598816.122444818 310.142791),310.142791
1,2018-10-09,Peg 21,12,401816.4410506793,5598810.2006310215,309.128029,3.2234970000572503,-6.07545099966228,-1.014761999999962,6.877647690793379,6.952106132339999,12.946524175020917,31.89119560865253,12.483143999939784,-27.046539501287043,POINT Z (401816.4410506793 5598810.200631022 309.128029),309.128029
0,2019-12-18,Peg 21,13,401824.8513794274,5598798.24164933,304.42494,7.872856999980286,-12.33016899973154,-4.703089000000034,14.629249635715405,15.366651913998725,12.893857353125366,47.257847522651254,20.35600099992007,-39.376708501018584,POINT Z (401824.8513794274 5598798.24164933 304.42494),304.42494
12,2015-07-03,Peg 14,1,401693.78645661805,5599146.4087144565,383.78454575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT Z (401693.7864566181 5599146.408714456 383.78454575),383.78454575
11,2015-09-30,Peg 14,2,401693.9369100927,5599145.840218906,383.66054575,0.12500000023283064,-0.5750000001862645,-0.12400000000002365,0.5884301150284644,0.6013534736512443,2.466224920030384,0.6013534736512443,0.12500000023283064,-0.5750000001862645,POINT Z (401693.9369100927 5599145.840218906 383.66054575),383.66054575
10,2015-12-07,Peg 14,3,401694.0198434921,5599145.52602599,383.59757225000004,0.06886599981226027,-0.3177780006080866,-0.0629734999999414,0.3251543996328749,0.3311963847973856,1.777745300750673,0.9325498584486298,0.1938660000450909,-0.8927780007943511,POINT Z (401694.0198434921 5599145.52602599 383.59757225),383.59757225000004
