Name,Date,East,North,Elev,H disp,H error (with 1 cm tilt allowance),V disp,net disp,net disp/month,cum net disp
Peg 1,18/12/2019,1844611.194,5596719.543,438.87606,0.051870228,0.023784,-0.024043,0.057171552,0.004074295,0.570858738
Peg 1,9/10/2018,1844611.215,5596719.59,438.900103,0.074110179,0.021742,-0.016292,0.075879825,0.012001401,0.513687186
Peg 1,27/03/2018,1844611.252,5596719.655,438.916395,0.056076412,0.031879,-0.040261,0.069032689,0.012814451,0.43780736
Peg 1,11/10/2017,1844611.295,5596719.691,438.956656,0.032971407,0.027402,-0.064597,0.072525072,0.02161805,0.368774672
Peg 1,29/06/2017,1844611.306,5596719.722,439.021253,0.019455677,0.03405,0.044392,0.048468268,0.014876399,0.2962496
Peg 1,20/03/2017,1844611.322,5596719.734,438.976861,0.024749582,0.033176,0.009783,0.026612946,0.008593764,0.247781332
Peg 1,14/12/2016,1844611.305,5596719.752,438.967078,0.042207992,0.033257,-0.015409,0.044932748,0.026786831,0.221168386
Peg 1,23/10/2016,1844611.33,5596719.786,438.982487,0.039365372,0.02817,-0.019464,0.04391446,0.013089887,0.176235638
Peg 1,11/07/2016,1844611.362,5596719.808,439.001951,0.038993634,0.028059,0.00267225,0.039085092,0.010445154,0.132321178
Peg 1,17/03/2016,1844611.39,5596719.836,438.9992788,0.030154144,0.023698,-0.0392935,0.049530309,0.015202372,0.093236086
Peg 1,7/12/2015,1844611.361,5596719.844,439.0385723,0.03934701,0.017,0.0190265,0.043705776,0.019924692,0.043705776
Peg 1,30/09/2015,1844611.364,5596719.805,439.0195458,,,,,,
Peg 2,18/12/2019,1844327.035,5596603.103,430.35042,0.029896062,0.026347,-0.009123,0.031257057,0.002227514,0.572168448
Peg 2,9/10/2018,1844327.038,5596603.133,430.359543,0.084806516,0.029463,-0.044139,0.095605421,0.015121266,0.540911391
Peg 2,27/03/2018,1844327.084,5596603.205,430.403682,0.016798052,0.033222,-0.03757,0.041154337,0.007639428,0.44530597
Peg 2,11/10/2017,1844327.089,5596603.221,430.441252,0.038343685,0.024635,-0.045769,0.059707952,0.017797563,0.404151633
Peg 2,29/06/2017,1844327.106,5596603.255,430.487021,0.045022764,0.053945,0.041283,0.061084657,0.018748756,0.344443681
Peg 2,20/03/2017,1844327.139,5596603.285,430.445738,0.026058709,0.042608,0.00539,0.026610306,0.008592911,0.283359024
Peg 2,14/12/2016,1844327.118,5596603.27,430.440348,0.036037872,0.024668,-0.008081,0.036932787,0.022017623,0.256748718
Peg 2,23/10/2016,1844327.135,5596603.302,430.448429,0.038765555,0.040056,-0.015266,0.041663161,0.012418827,0.219815931
Peg 2,11/07/2016,1844327.17,5596603.318,430.463695,0.043712081,0.030275,-0.00709175,0.04428362,0.011834416,0.178152769
Peg 2,17/03/2016,1844327.2,5596603.35,430.4707868,0.047868713,0.023031,-0.0297855,0.056378983,0.01730444,0.13386915
Peg 2,7/12/2015,1844327.153,5596603.341,430.5005723,0.043525662,0.019,0.0230265,0.049241273,0.022448227,0.077490167
Peg 2,30/09/2015,1844327.177,5596603.305,430.4775458,0.022561029,0.018,-0.017,0.028248894,0.009839503,0.028248894
Peg 2,3/07/2015,1844327.182,5596603.327,430.4945458,,,,,,
Peg 3,18/12/2019,1844275.724,5596482.777,434.641079,0.041665993,0.025562,0.003864,0.041844778,0.002982042,0.50193679
Peg 3,9/10/2018,1844275.713,5596482.818,434.637215,,,,,,0.460092012
Peg 3,27/03/2018,0,0,0,,,,,,0.460092012
Peg 3,11/10/2017,1844275.763,5596482.905,434.673905,0.055248063,0.024273,-0.068612,0.088090607,0.026257777,0.460092012
Peg 3,29/06/2017,1844275.775,5596482.959,434.742517,0.033025692,0.028098,0.082412,0.088783073,0.02725025,0.372001406
Peg 3,20/03/2017,1844275.808,5596482.957,434.660105,0.015392565,0.031077,-0.031706,0.035244879,0.011381159,0.283218332
Peg 3,14/12/2016,1844275.808,5596482.972,434.691811,0.040758995,0.024565,0.010355,0.042053795,0.025070532,0.247973453
Peg 3,23/10/2016,1844275.788,5596483.008,434.681456,0.053963358,0.031421,-0.007703,0.054510368,0.016248283,0.205919658
Peg 3,11/07/2016,1844275.829,5596483.042,434.689159,0.046534642,0.034246,0.00980325,0.047556037,0.012708941,0.15140929
Peg 3,17/03/2016,1844275.864,5596483.074,434.6793558,0.035810152,0.025852,-0.0522165,0.063316111,0.019433658,0.103853253
Peg 3,7/12/2015,1844275.83,5596483.062,434.7315723,0.018583628,0.015,0.0360265,0.040537143,0.018480168,0.040537143
Peg 3,30/09/2015,1844275.846,5596483.053,434.6955458,,,,,,0
Peg 3,3/07/2015,0,0,0,,,,,,
Peg 4,18/12/2019,1844444.356,5596428.746,421.83189,0.072187918,0.019676,0.002934,0.072247518,0.005148674,0.683043409
Peg 4,9/10/2018,1844444.366,5596428.817,421.828956,0.10161971,0.024307,-0.025434,0.104754254,0.016568275,0.61079589
Peg 4,27/03/2018,1844444.413,5596428.907,421.85439,0.035960072,0.027245,-0.038958,0.053017474,0.009841567,0.506041636
Peg 4,11/10/2017,1844444.4,5596428.941,421.893348,0.087383901,0.057322,-0.042577,0.097204666,0.028974468,0.453024162
Peg 4,29/06/2017,1844444.402,5596429.028,421.935925,0.05073334,0.031106,0.055803,0.075417814,0.023148042,0.355819496
Peg 4,20/03/2017,1844444.449,5596429.047,421.880122,0.003863351,0.025267,-0.020647,0.021005335,0.006782973,0.280401682
